1, 0.7670080235976815, SimArray([-43.59397529, -60.12986129,  10.06457661], 'kpc')
2, 0.9353597347076275, SimArray([-55.86516074, -80.23452565,  14.68370025], 'kpc')
3, 0.9791311795963157, SimArray([-59.26517899, -85.69961128,  15.73943786], 'kpc')
5, 1.177786198707049, SimArray([ -75.03188771, -112.79783132,   20.36416989], 'kpc')
5, 1.3023664649288764, SimArray([ -85.36689579, -131.7834858 ,   23.34504823], 'kpc')
6, 1.544792928932236, SimArray([-105.76222993, -171.46454664,   31.13812871], 'kpc')
6, 1.625601750266745, SimArray([-112.21512959, -184.60372301,   34.63199968], 'kpc')
6, 1.9488370356047833, SimArray([-138.45381196, -245.62856183,   48.92755373], 'kpc')
5, 2.154226123163353, SimArray([-154.76689009, -284.72571924,   60.05041262], 'kpc')
5, 2.272072320942872, SimArray([-163.61066059, -307.3543979 ,   67.11409974], 'kpc')
5, 2.5953076062807106, SimArray([-189.5664318 , -375.42265082,   85.36503893], 'kpc')
5, 2.6222438800577956, SimArray([-191.98000258, -381.85492394,   87.11134458], 'kpc')
5, 2.9185428915913927, SimArray([-217.33442683, -450.38143459,  104.08693983], 'kpc')
5, 3.241778176900961, SimArray([-244.19252895, -534.81915861,  122.92347676], 'kpc')
5, 3.2889166560086056, SimArray([-248.25611453, -548.17449877,  126.34858124], 'kpc')
4, 3.565013462210532, SimArray([-269.24289689, -636.02159413,  143.1515882 ], 'kpc')
4, 3.733365173309266, SimArray([-282.29404016, -691.73210946,  152.6035197 ], 'kpc')
3, 3.8882487475201, SimArray([-295.02513299, -747.58326021,  162.63425815], 'kpc')
