1 0.7670080235976814  75.43579092   -49.11212433 -79.0322086 
2 0.9353597347076272  93.08075684  -71.32274326 -83.15857948
3 0.9791311795963155  97.6149803    -77.67306207 -83.76708316
5 1.1777861987070488  118.7383543   -108.04991613  -85.05174401
5 1.3023664649288762  131.77075593  -128.05973146  -84.5146584 
6 1.5447929289322357  157.72691294  -169.4889623   -81.55375745
6 1.6256017502667446  166.93356355   -184.04435089  -80.18026847
6 1.948837035604783   206.75879181  -244.68189473  -72.73148669
5 2.1542261231633524  234.52325917   -284.64696186  -67.3522069 
5 2.2720723209428715  251.08106592  -306.7399183   -65.19893241
5 2.59530760628071    287.50676664  -383.25924565  -60.86801354
5 2.622243880057795   290.54531491  -389.94424911  -60.67569158
5 2.9185428915913922  324.48080404  -465.96122312  -60.35344779
5 3.24177817690096    362.94474812    -553.29500437  -66.96636464
5 3.288916656008605   368.64379733 -566.20293659  -68.68060897
4 3.565013462210531   402.2614472  -642.0697354   -82.01032543
4 3.7333651733092656  423.0280159  -687.890352    -93.14691092
3 3.888248747520099   442.55776181 -729.34279698 -105.05202055
2 4.28219175149114    486.23200886 -822.97025601 -141.13166054
2 4.534719318139242   505.60820025 -900.56004143 -156.55659346
2 4.857954603448809   528.21191053 -1000.64218631  -178.35673544
2 4.975800801217926   535.95315934 -1037.45782363  -186.71667488
2 5.1811898887583805   549.53034283 -1102.46840133  -202.16973368
2 5.504425174067968   568.88476191  -1204.63092863  -226.87062887
2 5.827660459377544   586.2544269  -1305.64866681  -252.86164462
2 5.868064870041242   588.30253905 -1318.09171018  -256.06812477
2 6.150895744687133   602.46353697 -1406.46685181  -276.62333358
2 6.47413102999674   618.09862683  -1512.2636583   -297.86738666
2 6.7973663153063635   632.1682108  -1624.20673939  -318.33800587
2 7.0397927792886    640.59176825   -1711.25555819  -334.78500037
2 7.120601600616009   643.02023233  -1740.76862022  -340.387465  
2 7.443836885925714   650.88893452  -1862.22568274  -363.39510874
2 7.7670721712354664   654.5600342   -1986.95285743  -387.3758916 
2 8.0903074565453   656.45496789   -2115.59345368  -409.70054704
2 8.413542741855247   655.49575855  -2250.08021659  -431.37245748
2 8.608830726728613   653.00994594  -2334.88188038  -444.27212675
2 8.736778027163655   650.66415221  -2391.61288686  -452.33984282
2 9.060013312473227   642.14510684  -2540.86630636  -472.07210232
2 9.383248597782783   628.9688234   -2703.74875839  -488.83995302
1 9.70648388309237    630.32105802   -2895.63088982  -483.70273491
2 10.029719168401932  659.34036126 -3045.71754933  -477.52029477
1 10.35295445371149   678.04081062 -3155.17542507  -524.93591524
1 10.676189739021078   701.92670413 -3287.81621437  -545.7493531 
1 10.767099663014392   708.6757663  -3325.27321623  -551.71792499
1 10.999425024330657   725.78861563 -3421.84730428  -567.06255175
1 11.322660309640213   749.52216219 -3558.31238107  -588.31061496
1 11.645895594949778   773.35312128 -3696.6391691   -609.98326666
1 11.969130880259348   797.27496876 -3837.42045331  -632.32335422
1 12.150950728246002   810.77630991 -3917.72312475  -644.90651633
1 12.292366165568943   821.33284367 -3980.75710357  -654.67183765
1 12.61560145087851   845.28398519 -4126.76190719  -677.07647816
1 12.938836736188081   868.99948482 -4274.91792223  -699.8637571 
1 13.262072021497662   892.686369   -4424.86507447  -722.99158081
1 13.585307306807218   917.25070596 -4576.91346842  -746.29033554
