currenthalo,  BH['iord'][i],     gettime(s),getz(s),   BH['mass'][i],     BH['r'][i], starmass,  gasmass,           virialmass] 
        
2, 60352986, 0.6424277573762136, 7.9864975196088075, 55589.340623069234, 1.1647000437647095, SimArray(15528060.254811864, 'Msol'), SimArray(388035672.29152834, 'Msol'), SimArray(3732253843.145524, 'Msol')
2, 60354630, 0.6424277573762136, 7.9864975196088075, 26614.690932110028, 2.0819360801509683, SimArray(15528060.254811864, 'Msol'), SimArray(388035672.29152834, 'Msol'), SimArray(3732253843.145524, 'Msol')
3, 60352986, 0.6558958942651285, 7.862925080196176, 55594.96722068089, 1.5264753680188143, SimArray(16070137.578239286, 'Msol'), SimArray(521385613.6118319, 'Msol'), SimArray(4898202551.626911, 'Msol')
3, 60354630, 0.6558958942651285, 7.862925080196176, 26614.690932110028, 2.0862691431349933, SimArray(16070137.578239286, 'Msol'), SimArray(521385613.6118319, 'Msol'), SimArray(4898202551.626911, 'Msol')
1, 60352986, 0.7670080235976814, 6.983808047626766, 55619.646189333616, 0.82013251730806491, SimArray(21156212.251190763, 'Msol'), SimArray(693426294.155467, 'Msol'), SimArray(7552053441.162324, 'Msol')
1, 60354630, 0.7670080235976814, 6.983808047626766, 26614.830819895953, 0.89983136392680352, SimArray(21156212.251190763, 'Msol'), SimArray(693426294.155467, 'Msol'), SimArray(7552053441.162324, 'Msol')
2, 60352986, 0.9353597347076272, 5.992850970580131, 55621.252308357209, 1.5263899940659464, SimArray(40083600.695859656, 'Msol'), SimArray(750857704.7084012, 'Msol'), SimArray(8812755570.103813, 'Msol')
2, 60354630, 0.9353597347076272, 5.992850970580131, 26615.374827952328, 0.53647328296760521, SimArray(40083600.695859656, 'Msol'), SimArray(750857704.7084012, 'Msol'), SimArray(8812755570.103813, 'Msol')
3, 60352986, 0.9791311795963155, 5.782387457813441, 55621.359382958777, 1.9674975659671696, SimArray(41045595.007002875, 'Msol'), SimArray(777115795.1404108, 'Msol'), SimArray(8930508430.596174, 'Msol')
3, 60354630, 0.9791311795963155, 5.782387457813441, 26615.464632456875, 0.87624528134817237, SimArray(41045595.007002875, 'Msol'), SimArray(777115795.1404108, 'Msol'), SimArray(8930508430.596174, 'Msol')
5, 60352986, 1.1777861987070488, 4.994382631661906, 55622.709904546355, 1.0185455433998023, SimArray(55036898.646161295, 'Msol'), SimArray(946563857.1415868, 'Msol'), SimArray(9687322042.648165, 'Msol')
5, 60354630, 1.1777861987070488, 4.994382631661906, 26615.963738260976, 1.1586070988361967, SimArray(55036898.646161295, 'Msol'), SimArray(946563857.1415868, 'Msol'), SimArray(9687322042.648165, 'Msol')
5, 60352986, 1.3023664649288762, 4.604307687945384, 55624.595799141789, 0.69787431227114816, SimArray(67921356.15014058, 'Msol'), SimArray(982115136.0125747, 'Msol'), SimArray(10299595567.315136, 'Msol')
5, 60354630, 1.3023664649288762, 4.604307687945384, 26616.54401352111, 1.6945931202331637, SimArray(67921356.15014058, 'Msol'), SimArray(982115136.0125747, 'Msol'), SimArray(10299595567.315136, 'Msol')
6, 60352986, 1.5447929289322357, 3.998602770311024, 55626.782193425504, 1.3962136139034216, SimArray(83397337.54572664, 'Msol'), SimArray(1083102123.368182, 'Msol'), SimArray(11182832153.14448, 'Msol')
6, 60354630, 1.5447929289322357, 3.998602770311024, 26618.165675632023, 1.8290737064421889, SimArray(83397337.54572664, 'Msol'), SimArray(1083102123.368182, 'Msol'), SimArray(11182832153.14448, 'Msol')
6, 60352986, 1.6256017502667446, 3.8305187276564414, 55627.061968997361, 2.0319050874180711, SimArray(89853455.527152, 'Msol'), SimArray(1126003973.8781252, 'Msol'), SimArray(11553335646.847343, 'Msol')
6, 60354630, 1.6256017502667446, 3.8305187276564414, 26618.298655379134, 1.9183119874630388, SimArray(89853455.527152, 'Msol'), SimArray(1126003973.8781252, 'Msol'), SimArray(11553335646.847343, 'Msol')
6, 60352986, 1.948837035604783, 3.2763204694744514, 82251.406885345932, 1.8674539370863628, SimArray(108635189.00192267, 'Msol'), SimArray(1140580153.485068, 'Msol'), SimArray(12911455937.652493, 'Msol')
5, 60352986, 2.1542261231633524, 2.9972056906976583, 82263.033114665042, 2.032275792803667, SimArray(118873031.54403526, 'Msol'), SimArray(1923406412.304836, 'Msol'), SimArray(18049076052.776955, 'Msol')
